TV Title,totaln,males_n,females_n,under_18_n,males_under_18_n,females_under_18_n,aged_18_to_29_n,males_aged_18_to_29_n,females_aged_18_to_29_n,aged_30_to_44_n,males_aged_30_to_44_n,females_aged_30_to_44_n,aged_45_n,males_aged_45_n,females_aged_45_n,imdb_staff_n,top_1000_voters_n,US_users_n,mean,males,females,under_18,males_under_18,females_under_18,aged_18_to_29,males_aged_18_to_29,females_aged_18_to_29,aged_30_to_44,males_aged_30_to_44,females_aged_30_to_44,aged_45,males_aged_45,females_aged_45,imdb_staff,top_1000_voters,US_users
American High,66,47,12,NA,NA,NA,27,19,8,28,26,2,2,2,NA,NA,6,38,7.4,5.4,3.3,NA,NA,NA,4.6,5.6,2.9,5.2,5.1,9.5,8,8,NA,NA,5,5.3
American Juniors,158,61,70,2,NA,2,68,27,41,42,26,16,15,8,7,NA,16,86,2.5,1.5,3.8,10,NA,10,2.4,1.5,4.6,1.7,1.5,2.4,3.5,3.3,4.3,NA,2.4,2.4
Beyond Tomorrow,44,29,6,NA,NA,NA,21,18,3,11,8,3,3,3,NA,NA,8,10,7.2,7,9.5,NA,NA,NA,7.6,7.6,8.3,6.6,5.6,6.7,7.7,7.7,NA,NA,7.6,6.6
The Casino,26,19,3,NA,NA,NA,2,2,NA,15,13,2,5,4,1,NA,6,13,5.2,3,6.3,NA,NA,NA,1.5,1.5,NA,3,3,7.5,4.8,6.5,4,NA,3.2,3
Celebrity Duets,123,59,50,NA,NA,NA,46,23,23,41,24,17,22,12,10,NA,14,68,2.9,2.2,4.3,NA,NA,NA,2.7,1.9,4.5,2.5,2.4,2.8,3.7,2.6,5.3,NA,2.2,3.6
Cops,2647,2103,359,41,37,4,1273,1112,161,823,714,109,250,201,49,NA,104,1327,6.6,6.6,6,6.6,6.5,7.8,6.8,7,5.8,6.2,6.2,6.4,6.6,6.8,5.6,NA,5.9,6.8
Forever Eden,56,34,15,NA,NA,NA,30,20,10,11,8,3,5,4,1,NA,8,20,5.9,3,2.8,NA,NA,NA,3.3,3,5.1,3.9,3.7,8.7,1,5.5,1,NA,2.2,1.7
Joe Millionaire,320,193,77,NA,NA,NA,110,78,32,112,89,23,35,24,11,NA,28,163,2.6,2.5,2.3,NA,NA,NA,2.3,2.4,1.8,2.5,2.3,3.4,3.2,3.4,3,NA,2.7,2.8
Married by America,30,20,6,NA,NA,NA,12,10,2,9,6,3,4,4,NA,NA,4,16,2.4,1.8,2.8,NA,NA,NA,2.4,2.5,2,2.2,1,2.3,4,4,NA,NA,2,2.6
More to Love,171,86,70,NA,NA,NA,56,27,29,78,48,30,16,10,6,NA,8,124,3.4,3,4.5,NA,NA,NA,4.2,4.2,4.1,2.9,2.5,4.6,3.6,2.8,7.2,NA,3.7,3.5
Murder in Small Town X,168,104,43,NA,NA,NA,80,56,24,55,40,15,10,7,3,NA,8,99,6.9,7.7,6,NA,NA,NA,7.4,7.3,8.1,6.7,7.6,4.4,9.1,9,9.3,NA,2.1,7.4
My Big Fat Obnoxious Boss,132,91,24,NA,NA,NA,41,34,7,57,50,7,16,7,9,NA,11,56,4.7,5.1,3.4,NA,NA,NA,4.1,4.4,2.7,5.2,5.3,4.9,4.1,10,2.6,NA,3.9,4.6
My Big Fat Obnoxious Fiance,208,126,47,NA,NA,NA,68,48,20,82,62,20,19,14,5,NA,21,96,5.3,5,5.7,NA,NA,NA,5.3,4.8,7,5.2,5.2,4.9,4.6,4.8,3.8,NA,4,5.5
Nanny 911,255,116,101,3,1,2,107,56,51,76,45,31,27,13,14,NA,26,144,5.1,4.4,6.6,9,10,8.5,4.9,4,6.3,5.2,4.2,7.2,5.5,5.5,5.5,NA,4.8,5
The Next Great American Band,81,50,21,1,NA,1,32,22,10,26,20,6,11,8,3,NA,11,46,6,3.8,6.5,10,NA,10,5.8,5.5,7.4,3.6,3.3,5.6,2.4,2.2,6.7,NA,3.8,4.2
Paradise Hotel,302,174,91,2,2,NA,123,76,47,119,82,37,15,11,4,NA,18,116,5.3,5,6.8,1,1,NA,6.3,5.9,7.6,4.8,4.5,6,4.8,4.6,8.3,NA,3.5,6.6
Playing It Straight,58,33,14,NA,NA,NA,23,19,4,19,11,8,5,3,2,NA,3,18,6.9,6.1,4.1,NA,NA,NA,5.4,5.3,6.5,6.9,6.9,8.4,4.1,5.7,5,NA,1,5.8
The Princes of Malibu,145,78,43,NA,NA,NA,60,39,21,44,27,17,14,10,4,NA,11,58,1.9,1.7,2.1,NA,NA,NA,2.2,2.1,2.6,1.7,1.7,1.7,1.8,1,4,NA,2.2,1.9
The Rebel Billionaire: Branson's Quest for the Best,63,34,17,NA,NA,NA,24,16,8,15,9,6,10,7,3,NA,5,19,6.6,4.7,5.3,NA,NA,NA,5,4.3,7.9,4.5,5.3,3.4,4.4,4.3,6.3,NA,1.8,5.4
Renovate My Family,24,10,9,NA,NA,NA,9,5,4,4,3,1,6,2,4,NA,6,10,5.6,4.3,3.7,NA,NA,NA,4.1,2.5,9.5,5,6.3,1,2.6,7.5,3.5,NA,4.4,3.9
The Simple Life,4053,2339,1242,29,16,13,2140,1294,846,1094,825,269,247,174,73,NA,112,1403,3.2,2.9,4.2,4,1.8,6,3.7,3.2,4.8,2.7,2.6,3.4,2.9,2.9,3.3,NA,2.5,3.2
Skating with Celebrities,36,20,11,NA,NA,NA,10,5,5,9,7,2,12,8,4,NA,1,26,4.9,2.9,3.6,NA,NA,NA,2.2,3.1,2.1,2.8,3.2,1,4.7,2.2,7.3,NA,1,3.6
The Swan,351,189,128,1,1,NA,162,88,74,119,83,36,27,13,14,NA,25,134,2.2,2.1,2.5,1,1,NA,2.2,2.1,2.6,2.1,2,2.6,2.9,3,2.8,NA,2.2,2.3
Totally Hidden Video,15,8,2,NA,NA,NA,NA,NA,NA,5,4,1,3,3,NA,NA,5,5,5.7,4.2,7.5,NA,NA,NA,NA,NA,NA,3.7,3.5,5,8.7,8.7,NA,NA,4.9,4
Trading Spouses: Meet Your New Mommy,277,127,117,3,2,1,116,59,57,88,51,37,34,14,20,NA,18,161,4.8,4,5.7,6.7,6.5,7,4.8,4.1,5.5,4.5,3.8,5.8,5,4.4,5.8,NA,4.4,5.2
Unan1mous,138,89,23,NA,NA,NA,49,39,10,45,40,5,12,8,4,NA,7,72,2.4,2.6,2,NA,NA,NA,2.4,2.6,1.5,2.4,2.6,1.4,2.3,2.4,1.5,NA,2.3,2.7
Police Videos,174,132,16,1,1,NA,68,63,5,59,53,6,17,14,3,NA,15,75,6.3,6.1,6.2,10,10,NA,6.7,6.6,7.4,5.6,5.5,6.7,6.4,7.4,3.7,NA,6,6.5
The Adventures of Brisco County Jr.,4397,3135,750,5,1,4,1091,894,197,2044,1720,324,672,486,186,1,157,2194,8.1,8.3,7.6,6.1,10,5,7.7,7.9,6.4,8.3,8.3,8,8.3,8.3,8.3,7,6.1,8
Alien Nation,2845,2029,517,2,1,1,344,277,67,1535,1256,279,587,453,134,1,113,1117,6.7,6.7,7.1,4,3,5,6.4,6.4,6.4,6.6,6.6,7.1,7.1,7,7.5,7,6.5,6.8
Dark Angel,19287,11302,5918,115,37,78,9094,5562,3532,6204,4488,1716,1390,1016,374,3,258,4261,7.1,7,7.5,7.7,7.1,8.1,7.3,7.2,7.7,6.9,6.9,7.2,7,7.1,7,5.7,5.6,6.8
Dollhouse,31211,18720,10414,234,109,125,15047,8960,6087,10763,7633,3130,2348,1709,639,5,230,10251,7.5,7.5,7.8,8.3,7.9,8.7,7.8,7.7,8,7.4,7.3,7.6,7.2,7.2,7.4,7.2,6.1,7.5
Ghostly Encounters,87,37,44,NA,NA,NA,20,12,8,29,14,15,29,11,18,NA,6,52,8.4,6.9,9.3,NA,NA,NA,7,5.5,9.6,8.4,7.7,9.2,7.6,7.2,8.8,NA,5.1,8.3
Fastlane,2576,1836,457,1,1,NA,1277,1034,243,832,675,157,131,104,27,NA,71,829,7,6.9,7.5,10,10,NA,7.3,7.2,8,6.9,6.8,7.5,6,6.1,5.4,NA,5.2,7.1
Firefly,124927,86984,23036,1850,1389,461,58212,46108,12104,38698,31518,7180,8149,6201,1948,18,410,34394,9.1,9.1,9.2,8.1,7.9,8.8,9.2,9.2,9.3,9.1,9,9.2,9,9,9.1,8.3,7.6,9.3
FreakyLinks,561,327,161,NA,NA,NA,215,139,76,200,139,61,63,45,18,NA,22,287,7.6,7.6,8,NA,NA,NA,8,7.9,8.1,7.8,7.7,8.3,6.5,6.8,5.7,NA,6.1,8
Fringe,128164,86559,29940,1814,1162,652,63632,47431,16201,39356,30067,9289,7464,5285,2179,8,329,21982,8.4,8.4,8.6,8.9,9,8.8,8.5,8.5,8.7,8.2,8.2,8.4,8.2,8.2,8.4,7.6,6.7,8.4
Harsh Realm,663,474,92,1,NA,1,162,142,20,285,241,44,110,88,22,NA,49,205,6.9,7,6.7,10,NA,10,7.7,7.6,8.1,6.9,6.8,7.3,6.5,6.8,5.2,NA,6.2,6.9
Keen Eddie,1621,1021,393,3,1,2,549,399,150,564,435,129,255,170,85,NA,65,661,7.8,8.1,7.6,1,1,1,7.3,7.4,7.3,8.1,8.3,7.1,8.5,8.6,8.4,NA,5.4,7.5
The Lone Gunmen,2880,2088,435,6,5,1,912,771,141,1159,962,197,383,317,66,1,98,897,7.3,7.3,7.5,8.8,8.8,10,7.5,7.5,7.3,7.2,7.2,7.6,7.5,7.4,8,9,6.9,7.4
M.A.N.T.I.S.,314,224,40,NA,NA,NA,66,56,10,139,124,15,51,40,11,NA,54,149,5.8,5.8,5.5,NA,NA,NA,6.4,6.2,7.6,5.8,5.8,5.6,5.4,5.6,3.4,NA,5.4,5.8
Millennium,5896,4127,1012,4,4,NA,1458,1178,280,2789,2295,494,765,577,188,NA,193,1463,7.8,7.8,7.6,9.8,9.8,NA,7.4,7.6,6.8,7.8,7.8,7.8,8.1,8,8.1,NA,6.3,7.3
Night Visions,400,250,106,NA,NA,NA,132,94,38,148,109,39,67,45,22,NA,49,209,7.1,7.2,7.7,NA,NA,NA,7.6,7.8,7.1,7.3,7.1,8.2,6.7,6.6,7.1,NA,6.1,7.2
Sliders,9834,6918,1839,22,18,4,3619,2875,744,3906,3135,771,1005,774,231,1,220,2983,7.2,7.2,7.2,5.7,5.3,9.3,7.3,7.3,7.1,7.1,7.1,7.3,7.2,7.2,7.3,7,5.7,7
Space: Above and Beyond,5164,4001,606,5,4,1,1057,932,125,2699,2370,329,729,619,110,NA,134,1449,7.3,7.5,6.8,6.7,6.8,6,6.5,6.7,5.4,7.6,7.6,7.3,7.7,7.8,7.2,NA,5.8,6.5
Terminator: The Sarah Connor Chronicles,43486,34566,6144,243,169,74,19883,16857,3026,16764,14626,2138,3075,2552,523,7,280,11797,7.5,7.5,7.6,8.1,8,8.3,7.6,7.6,7.7,7.5,7.5,7.6,7.5,7.5,7.3,8.1,6.2,7.5
Tru Calling,9815,4677,4060,69,27,42,5036,2432,2604,2810,1716,1094,647,437,210,NA,169,2357,7.2,7.1,7.6,8.1,7.4,8.6,7.3,7.1,7.7,7.1,7,7.5,7.3,7.2,7.7,NA,5.6,7
The Visitor,270,174,47,NA,NA,NA,73,57,16,91,77,14,54,38,16,NA,32,69,6.8,6.9,7,NA,NA,NA,7.6,8,5.6,6.6,6.5,7.3,6.5,6.2,7.9,NA,6.4,6.7
VR.5,405,216,118,NA,NA,NA,66,38,28,175,110,65,86,65,21,NA,30,155,6.9,6.8,7.8,NA,NA,NA,6.2,5.9,6.9,7.3,7.1,7.9,7.1,6.9,7.9,NA,5.2,7.1
Werewolf,359,244,58,2,1,1,47,35,12,201,171,30,44,35,9,NA,32,183,7.2,7.5,7.2,10,10,10,5.3,5.6,4.3,7.9,7.9,7.7,7.9,7.8,8.5,NA,6,7.3
The X-Files,85917,59235,17326,712,510,202,38734,29690,9044,30237,24138,6099,5000,3794,1206,11,496,17685,8.7,8.7,8.7,8.8,8.7,9.1,8.8,8.8,8.7,8.6,8.6,8.7,8.5,8.5,8.5,8.5,7.9,8.7
Mary-Kate and Ashley in Action!,189,67,99,5,1,4,123,50,73,28,14,14,4,1,3,NA,10,38,3,2.5,3.9,3.4,1,5.3,3.2,2.7,3.7,3.7,2.7,5.7,3.8,3,4,NA,3.7,4
Andy Richter Controls the Universe,1215,885,161,1,1,NA,425,368,57,467,402,65,121,105,16,NA,69,647,7.6,7.7,7.2,10,10,NA,7.8,7.8,7.5,7.6,7.6,7.8,7.1,7.5,5,NA,6.4,7.9
Arrested Development,150020,104502,27817,2952,2351,601,84406,66967,17439,35710,28928,6782,4701,3543,1158,16,380,51825,9.1,9.1,9.1,8.7,8.6,9.1,9.2,9.3,9.2,9,9,9,8.5,8.5,8.5,9.5,7.3,9.4
Ask Harriet,20,15,3,NA,NA,NA,4,3,1,9,9,NA,4,3,1,NA,4,1,7.2,5.6,7.3,NA,NA,NA,8,8,8,5.4,5.4,NA,7,6.7,8,NA,6.5,10
Babes,39,20,10,NA,NA,NA,4,3,1,17,11,6,8,6,2,NA,10,21,5.3,5.8,3.9,NA,NA,NA,2.8,3.3,1,6.3,6,7.8,5.9,5.9,6,NA,4.4,5.5
Back to You,1855,1343,381,6,4,2,764,600,164,665,526,139,251,199,52,1,63,782,6.2,6.4,6.5,6.5,7,7.5,6.7,6.8,6.2,6.1,5.9,6.7,6.4,6.4,6.8,4,4.7,6.4
Bakersfield P.D.,182,120,38,NA,NA,NA,14,9,5,77,63,14,62,46,16,NA,21,68,6.2,7.4,5,NA,NA,NA,2.1,2.1,2.4,8.4,8.5,6.3,8.7,8.9,7.7,NA,2.8,6.1
The Ben Stiller Show,879,632,116,1,1,NA,284,249,35,347,295,52,91,78,13,NA,76,490,7,7,7,10,10,NA,7.1,7.2,6,6.9,6.9,6.8,6.8,6.6,8.1,NA,6.3,7.2
The Bernie Mac Show,4179,2789,920,47,27,20,2161,1655,506,1106,860,246,283,187,96,NA,127,2311,6.5,6.4,6.7,7.1,6.8,7.3,6.7,6.7,6.6,6.3,6.2,7,6.1,5.9,6.6,NA,5.8,6.6
Between Brothers,33,15,14,1,1,NA,14,6,8,9,6,3,5,2,3,NA,3,23,8.2,8,8.3,10,10,NA,9.1,8.4,9.9,8,7.9,8.7,7,7.5,7.7,NA,4.7,7.9
Charlie Hoover,22,16,1,NA,NA,NA,1,1,NA,13,12,1,3,3,NA,NA,5,10,6.2,6.1,3,NA,NA,NA,10,10,NA,5.1,5.6,3,6,6,NA,NA,5.7,5.5
Comic Strip Live,17,14,1,NA,NA,NA,1,1,NA,9,9,NA,4,3,1,NA,3,11,7.9,5.9,10,NA,NA,NA,1,1,NA,6.4,6.4,NA,8.8,8.3,10,NA,5.3,7.9
Cracking Up,144,91,32,NA,NA,NA,60,44,16,48,36,12,12,10,2,NA,18,60,5.7,5.9,5.6,NA,NA,NA,6.5,6.3,7.5,5.4,5.7,4.3,5.3,5.6,4.5,NA,5.1,7
The Crew,24,13,4,NA,NA,NA,2,2,NA,8,8,NA,6,3,3,NA,4,11,7.4,5.5,8.3,NA,NA,NA,1,1,NA,8.7,8.7,NA,7.3,8.3,9,NA,8.3,6.6
Daddy Dearest,28,24,1,NA,NA,NA,7,7,NA,13,12,1,4,4,NA,NA,1,20,7.4,8.9,10,NA,NA,NA,9.4,9.4,NA,8.6,8.6,10,9.5,9.5,NA,NA,5,9.1
Damon,114,84,15,1,1,NA,64,53,11,27,24,3,6,6,NA,NA,6,25,6.7,6.7,8.8,10,10,NA,7.7,7.5,9.4,5.2,5,8.7,6.5,6.5,NA,NA,5.9,6.6
Do Not Disturb,271,189,61,NA,NA,NA,111,85,26,105,84,21,27,18,9,NA,12,129,3.8,3.8,4.7,NA,NA,NA,4.2,4.1,4.5,4,3.8,5.9,3.4,3.7,3.1,NA,3.3,4.1
Down and Out in Beverly Hills,29,19,2,NA,NA,NA,5,5,NA,6,6,NA,9,8,1,NA,6,12,5.7,5.2,7.5,NA,NA,NA,5.7,5.7,NA,4.8,4.8,NA,5.3,5.3,10,NA,4.6,4.9
Down the Shore,33,25,3,NA,NA,NA,4,4,NA,13,12,1,9,9,NA,NA,5,23,6.8,6.5,8.3,NA,NA,NA,6,6,NA,6.6,6.8,6,7.2,7.2,NA,NA,5.8,7
Drexell's Class,101,68,17,NA,NA,NA,20,17,3,59,46,13,5,5,NA,NA,19,54,6.8,7.1,6.2,NA,NA,NA,6.2,6.6,5,7.1,7.3,6.1,6.3,6.3,NA,NA,6.2,6.9
Duet,84,45,21,NA,NA,NA,2,2,NA,23,15,8,39,27,12,NA,11,53,7.7,7.3,7.2,NA,NA,NA,9,9,NA,7.2,6.9,7.9,7.1,7.3,6.5,NA,7.2,7.1
Flying Blind,169,123,26,NA,NA,NA,11,9,2,70,58,12,64,54,10,NA,22,113,6.8,7.4,5.7,NA,NA,NA,2.7,2.7,3,7.7,7.9,5.9,8.2,8.2,7.6,NA,5.2,7
The George Carlin Show,229,179,25,NA,NA,NA,56,53,3,107,91,16,38,33,5,NA,29,149,6.9,6.9,6.5,NA,NA,NA,7.2,7.1,8,6.7,6.8,5.9,6.9,6.9,7.1,NA,5.9,6.8
Get a Life,1240,947,153,3,3,NA,153,128,25,718,632,86,192,168,24,NA,59,674,7.8,8,7.1,10,10,NA,6.4,6.7,4.7,8.2,8.3,7.3,8.3,8.2,9.3,NA,6.3,7.7
Getting Personal,30,18,6,NA,NA,NA,7,5,2,10,7,3,5,4,1,NA,6,14,7.3,6.1,1.7,NA,NA,NA,6.5,6.3,10,7.4,7.4,6.3,4.1,6.3,1,NA,5.3,5.8
Good Grief,26,19,2,NA,NA,NA,1,1,NA,12,12,NA,8,6,2,NA,7,18,8,7.2,9,NA,NA,NA,5,5,NA,8.6,8.6,NA,6.2,6.1,9,NA,6.9,8
Great Scott!,30,16,4,NA,NA,NA,4,2,2,8,6,2,7,7,NA,NA,8,11,7.2,5.8,5.8,NA,NA,NA,6.5,10,3,8.3,8,8.5,3.4,3.4,NA,NA,6.1,5.4
Greg the Bunny,1167,814,205,2,2,NA,480,383,97,420,341,79,97,80,17,1,57,630,7.3,7.4,7.3,9.5,9.5,NA,7.6,7.5,8,7.3,7.3,7.4,7.2,7.4,6.6,8,5.5,7.4
Grounded for Life,10221,6384,2841,96,41,55,5874,3930,1944,2596,1972,624,468,352,116,NA,175,4057,7.2,7.2,7.4,7.9,7.8,7.9,7.3,7.3,7.6,7.1,7,7.2,7,6.9,7.1,NA,5,7.2
Happy Hour,231,148,57,NA,NA,NA,62,50,12,101,71,30,33,25,8,NA,6,125,5.9,5.9,4.9,NA,NA,NA,6.1,6,6.5,5.6,5.6,5.4,5.4,6.4,2.6,NA,5.3,5.7
Hardball,107,76,12,NA,NA,NA,3,2,1,61,54,7,23,19,4,NA,20,31,6.4,6.4,6,NA,NA,NA,6.3,9,1,6.6,6.6,6.3,6.1,5.6,9,NA,5.4,6
Haywire,9,4,3,NA,NA,NA,1,NA,1,5,3,2,1,1,NA,NA,2,7,7.2,10,6,NA,NA,NA,1,NA,1,8.7,10,8.5,10,10,NA,NA,1,3.9
Herman's Head,876,600,163,NA,NA,NA,62,47,15,501,402,99,186,148,38,NA,46,488,6.9,6.9,7.1,NA,NA,NA,7,6.9,7.4,6.8,6.8,6.6,7.1,7,7.4,NA,6.1,7
Holding the Baby,12,5,6,NA,NA,NA,2,1,1,4,2,2,5,2,3,NA,3,4,4.5,2.6,1,NA,NA,NA,10,10,10,6,2.5,9.5,2,3,1,NA,2.3,1
In Living Color,5158,3567,998,68,46,22,1808,1430,378,2035,1640,395,499,372,127,1,175,2819,7.6,7.7,7.6,8.6,8.4,9.3,7.7,7.7,7.4,7.6,7.6,7.5,7.6,7.6,7.8,6,6,7.7
Karen's Song,7,4,1,NA,NA,NA,2,1,1,3,3,NA,NA,NA,NA,NA,4,2,4.1,3.8,6,NA,NA,NA,5.5,5,6,3.3,3.3,NA,NA,NA,NA,NA,4.5,3.5
Kitchen Confidential,3284,1907,1035,16,6,10,1615,1016,599,1072,749,323,173,112,61,NA,75,923,7.8,7.8,8.1,8,7.5,9.1,8.2,8.1,8.4,7.7,7.6,7.9,7.4,7.4,7.3,NA,5,7.5
Life on a Stick,363,242,78,2,1,1,175,121,54,116,100,16,22,19,3,NA,13,109,5.3,5.4,5.1,8,6,10,5.9,5.8,6.2,5.1,5.1,5,4.4,5.1,2.3,NA,3.6,5.7
Living in Captivity,5,3,2,NA,NA,NA,3,3,NA,NA,NA,NA,1,NA,1,NA,1,4,8.2,8,8.5,NA,NA,NA,8,8,NA,NA,NA,NA,10,NA,10,NA,4,9.3
Living Single,1799,726,859,15,7,8,651,258,393,663,325,338,197,108,89,NA,54,1236,6.5,5.9,7.7,9,8.2,9.4,7.3,6.6,8.1,6.1,5.4,7.3,6.7,6.2,7.6,NA,5.3,6.7
The Loop,1584,1226,245,5,4,1,717,589,128,593,518,75,124,100,24,NA,45,895,7,7.1,7.1,7.2,8.3,6,7.5,7.5,7.1,6.7,6.7,6.4,6.8,6.6,7.4,NA,4.8,7.3
Love and Marriage,11,6,2,NA,NA,NA,4,3,1,4,3,1,NA,NA,NA,NA,1,1,8.3,5.5,9,NA,NA,NA,10,10,10,7,6.7,8,NA,NA,NA,NA,4,4
Lush Life,19,11,3,NA,NA,NA,2,1,1,9,8,1,3,2,1,NA,5,9,7.7,7.1,9,NA,NA,NA,10,10,10,8.5,8.7,7,7,5.5,10,NA,5.4,8.6
Malcolm in the Middle,62516,41914,14161,2001,1356,645,37479,27748,9731,12665,10019,2646,2223,1666,557,3,328,13549,7.9,7.9,7.8,8.4,8.4,8.5,8,8,8,7.5,7.5,7.5,7.6,7.6,7.4,7.3,6.2,7.7
Married with Children,56552,40301,10868,718,464,254,27771,21193,6578,18478,15461,3017,2984,2447,537,5,421,11956,8.1,8.2,7.5,8.4,8.4,8.4,8.2,8.3,7.7,8,8.1,7.3,7.9,8,7,6.3,7.3,8
Doc Martin,4126,1974,1643,51,30,21,834,457,377,1087,618,469,1530,824,706,NA,93,1527,7.8,7.7,8.2,8.3,8.4,8.2,7.1,6.8,7.8,7.8,7.7,7.9,8.4,8.2,8.8,NA,5.6,7.7
Method & Red,411,321,36,6,6,NA,249,223,26,86,82,4,11,7,4,NA,13,120,6.5,7,5.1,9.1,9.1,NA,7.2,7.5,4.3,6.5,6.3,7.8,4.9,5.5,4.5,NA,3.9,5.8
A Minute with Stan Hooper,144,102,24,NA,NA,NA,44,37,7,59,51,8,18,13,5,NA,15,67,5.8,6.2,4.9,NA,NA,NA,6.2,6.4,4.5,5.9,6,5.1,6.1,6.5,4.9,NA,4.8,6.7
Misery Loves Company,12,8,NA,NA,NA,NA,2,2,NA,3,3,NA,3,3,NA,NA,4,3,6,6,NA,NA,NA,NA,3,3,NA,5.7,5.7,NA,8.3,8.3,NA,NA,5,7.3
Molloy,26,15,6,NA,NA,NA,7,6,1,9,6,3,5,3,2,NA,8,11,6.7,3.9,7.3,NA,NA,NA,2.5,2.4,10,4.6,4.3,8.3,5.6,6,4.5,NA,3.8,6.6
Mr. President,32,25,3,NA,NA,NA,4,3,1,15,14,1,9,8,1,NA,6,21,6.7,5.8,10,NA,NA,NA,5.8,4.3,10,5.9,5.7,10,6,6,10,NA,5.7,5.8
My Wildest Dreams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ned's Declassified School Survival Guide,7602,4018,2842,732,399,333,4772,2718,2054,816,571,245,258,176,82,NA,88,3393,6.9,6.9,7.2,7.8,7.8,7.8,7,6.9,7.3,6.5,6.7,5.7,6.7,6.7,6.8,NA,3.8,7
The New Adventures of Beans Baxter,62,43,7,NA,NA,NA,7,6,1,30,24,6,13,13,NA,NA,9,35,7.4,6.5,8.2,NA,NA,NA,4.8,1.5,10,7.5,7.4,7.4,6.2,6.2,NA,NA,5.6,7.3
"Normal, Ohio",116,84,13,NA,NA,NA,31,25,6,46,44,2,17,14,3,NA,12,48,5.3,6,4.7,NA,NA,NA,6.2,6.5,5,6.5,6.7,5,4.3,4.7,4,NA,4.6,5.5
Oliver Beene,520,346,105,1,NA,1,257,186,71,133,111,22,52,44,8,NA,33,199,6.9,7,6.6,7,NA,7,7.5,7.6,7,6.6,6.4,7.7,6.4,6.8,3.7,NA,5.1,7.1
Open House,55,32,14,NA,NA,NA,1,1,NA,20,15,5,22,14,8,NA,10,40,7.3,6.2,7.3,NA,NA,NA,8,8,NA,6,5.9,7,6.6,6.5,6.9,NA,6.4,6.6
Parker Lewis Can't Lose,2912,2080,502,4,2,2,565,426,139,1711,1420,291,232,197,35,NA,89,874,7.8,7.8,7.7,5.8,6,5.5,7.8,7.9,7.7,7.8,7.8,7.7,7.7,7.6,8.1,NA,6.5,7.7
Party Girl,10,6,3,NA,NA,NA,1,NA,1,8,6,2,NA,NA,NA,NA,6,7,6.4,5.4,7.7,NA,NA,NA,9,NA,9,5.7,5.4,7,NA,NA,NA,NA,6.1,4.8
The Pitts,158,105,29,NA,NA,NA,74,57,17,44,35,9,15,12,3,NA,10,91,4.4,5,2.6,NA,NA,NA,4.7,4.9,4,3.7,4.1,2.4,6.1,8.1,1.7,NA,4.1,4.9
The Preston Episodes,5,4,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,NA,1,3,6.6,7,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,NA,7.5,7.5,NA,NA,5,6
Quintuplets,804,382,328,9,3,6,501,241,260,163,117,46,22,16,6,NA,26,264,6.6,6.4,7.3,8,8.7,7.8,7.1,6.8,7.8,6,5.9,6.5,6.3,7.1,3.9,NA,5.4,6.9
"Rachel Gunn, R.N.",14,5,3,NA,NA,NA,NA,NA,NA,5,3,2,3,2,1,NA,4,7,7.4,7.7,8.7,NA,NA,NA,NA,NA,NA,7.7,5.3,8,9,8.5,10,NA,6,7.9
The Return of Jezebel James,411,215,164,1,1,NA,164,76,88,156,103,53,47,34,13,NA,26,227,6,5.8,6.4,3,3,NA,6.7,6.6,6.9,5.6,5.6,5.2,4.8,4.9,4.7,NA,6.4,5.4
Roc,462,294,102,NA,NA,NA,73,46,27,204,159,45,100,78,22,NA,43,334,7,6.8,7.5,NA,NA,NA,6.7,6.6,7,6.8,6.6,7.7,7.1,7.1,7.3,NA,6.1,6.9
Running Wilde,2427,1653,602,23,16,7,1206,868,338,844,655,189,139,97,42,NA,51,1019,6.7,6.8,6.6,6.2,5.7,7.6,6.9,6.8,7,6.7,6.8,6.4,6,6.2,5.1,NA,5.4,6.8
Second Chance,37,21,5,1,1,NA,6,3,3,13,12,1,5,4,1,NA,12,16,6.5,5.8,3.7,8,8,NA,2.6,5,8.7,6.4,6.5,5,4.9,6.5,3,NA,4,6.7
Shaky Ground,16,12,3,NA,NA,NA,NA,NA,NA,10,8,2,4,4,NA,NA,1,8,7.6,4.3,10,NA,NA,NA,NA,NA,NA,5.7,5.4,10,5.5,5.5,NA,NA,6,1.9
The Sinbad Show,162,96,41,NA,NA,NA,54,34,20,60,46,14,19,14,5,NA,14,61,5.7,6.2,5.5,NA,NA,NA,7,6.9,6.7,5.7,6,4.4,5.7,5.6,5.9,NA,4.1,6.3
Sons of Tucson,1320,987,220,30,18,12,647,530,117,388,338,50,98,77,21,NA,41,546,6.9,6.9,7.4,8,7.3,9.4,7,7,7.2,6.9,6.9,7.4,6.4,6.3,6.9,NA,5.5,6.9
Stacked,1210,889,188,4,3,1,576,469,107,377,321,56,104,89,15,NA,68,331,5.7,5.7,5.9,8.3,7.7,10,5.6,5.5,6.1,5.8,5.8,5.8,6.2,6.2,5.8,NA,5,5.8
