TV Title,totaln,males_n,females_n,under_18_n,males_under_18_n,females_under_18_n,aged_18_to_29_n,males_aged_18_to_29_n,females_aged_18_to_29_n,aged_30_to_44_n,males_aged_30_to_44_n,females_aged_30_to_44_n,aged_45_n,males_aged_45_n,females_aged_45_n,imdb_staff_n,top_1000_voters_n,US_users_n,mean,males,females,under_18,males_under_18,females_under_18,aged_18_to_29,males_aged_18_to_29,females_aged_18_to_29,aged_30_to_44,males_aged_30_to_44,females_aged_30_to_44,aged_45,males_aged_45,females_aged_45,imdb_staff,top_1000_voters,US_users
Eyes,319,178,97,NA,NA,NA,67,43,24,139,100,39,62,33,29,NA,27,139,7.1,7.1,7.3,NA,NA,NA,6.8,6.8,6.9,7.5,7.4,8,6.8,6.8,7,NA,5.4,7.5
Finder of Lost Loves,51,22,17,NA,NA,NA,NA,NA,NA,16,7,9,23,15,8,NA,21,26,6.4,6,4,NA,NA,NA,NA,NA,NA,4.8,5.6,3.4,5.7,6.1,4.5,NA,6,5.9
FlashForward,45114,31805,9525,485,335,150,23511,18147,5364,14027,11051,2976,2437,1772,665,4,260,7227,7.4,7.4,7.6,8.3,8.4,8.1,7.6,7.6,7.7,7.3,7.2,7.4,7.4,7.3,7.7,7.3,6,7
The Forgotten,1767,1033,638,9,2,7,588,359,229,734,479,255,302,182,120,NA,61,599,6.3,6.1,6.9,8.5,9.5,8.3,6.2,5.9,7,6.3,6.1,6.8,6.5,6.3,7,NA,5.4,6.6
Gideon's Crossing,106,63,28,NA,NA,NA,15,11,4,44,32,12,29,20,9,NA,15,60,6.7,6.8,7.9,NA,NA,NA,4.5,4.1,7.5,7.8,7.4,8.5,7.3,7.3,7,NA,4.5,6.7
Happy Town,2570,1546,796,16,6,10,1041,655,386,977,687,290,263,181,82,NA,79,875,6.8,6.8,7.3,6.9,6.2,7.5,6.9,6.9,7.2,6.8,6.7,7.2,7,6.8,7.8,NA,6,7
Hardcastle and McCormick,756,531,127,NA,NA,NA,42,34,8,404,345,59,187,136,51,NA,78,300,6.3,6.3,6.5,NA,NA,NA,6.2,6.1,6.9,6.4,6.3,6.6,6.3,6.3,6.6,NA,6.1,6.6
Heart of the City,25,18,3,NA,NA,NA,5,5,NA,9,7,2,7,6,1,NA,5,6,7.2,5.4,10,NA,NA,NA,4.3,4.3,NA,7.2,7.1,10,5.4,5.3,10,NA,4.1,6.5
In Justice,483,239,203,NA,NA,NA,154,91,63,186,106,80,92,41,51,NA,34,163,7,7.2,7.4,NA,NA,NA,7.7,7.6,8,7.1,7,7.4,7,6.9,7.3,NA,5.1,7.3
The Gates,5442,2558,2522,83,18,65,2486,1127,1359,1845,1039,806,534,329,205,1,77,1601,6.9,6.8,7.3,8.5,7,8.9,7.2,7,7.3,6.7,6.6,7.2,6.8,6.7,7.3,7,5.8,6.9
Karen Sisco,594,306,229,1,1,NA,198,90,108,220,146,74,103,66,37,NA,47,195,6.9,6.7,7.7,10,10,NA,6.9,6.5,8,6.6,6.5,7.2,7.3,7.2,7.7,NA,6,7
Kingdom Hospital,5124,2981,1464,12,8,4,1647,1044,603,2191,1548,643,525,361,164,1,152,1444,6.5,6.5,6.9,6.3,5.9,9,6.8,6.6,7.1,6.4,6.3,6.8,6.7,6.7,6.5,5,5.6,6.3
Lady Blue,118,65,36,2,1,1,34,17,17,39,29,10,24,16,8,NA,22,42,6.5,6.5,7.6,10,10,10,7.8,6.9,9.6,6.3,6.6,4.9,6.7,6.3,7.5,NA,5.6,7.1
Life As We Know It,2497,1144,1065,14,3,11,1617,784,833,456,290,166,85,60,25,NA,44,716,7.7,7.6,8.1,7.2,7,6.4,8.1,7.9,8.3,7.3,7.2,7.3,6.7,6.9,6.1,NA,5.8,7.8
Life Goes On,1118,563,418,1,1,NA,142,82,60,656,371,285,157,97,60,NA,54,511,6.8,6.5,7.4,9,9,NA,7,6.9,7.2,6.5,6.2,7.3,7.4,7,8.1,NA,6.2,6.7
Life on Mars,18036,11283,4699,213,137,76,6477,4426,2051,6541,4859,1682,2315,1645,670,3,217,2654,8.2,8.2,8.3,8.4,8.1,8.9,8.1,8,8.3,8.2,8.2,8.4,8.3,8.2,8.4,8.7,6.1,7.2
Line of Fire,189,125,37,1,1,NA,45,34,11,78,62,16,37,28,9,NA,22,80,6.5,6.7,6.4,10,10,NA,6.8,6.7,7.3,7.1,7.1,7.1,5.9,6.2,4.5,NA,4.8,6.5
Lost,253074,183099,49574,3860,2668,1192,141792,111772,30020,69983,56881,13102,9069,6710,2359,12,476,49735,8.5,8.6,8.5,9,9,8.9,8.7,8.7,8.5,8.4,8.4,8.4,8,8,8.1,8.4,7.7,8.8
MacGruder and Loud,48,24,16,NA,NA,NA,NA,NA,NA,21,9,12,19,15,4,NA,8,30,6.9,6.2,5.4,NA,NA,NA,NA,NA,NA,6.1,6.6,5.5,5.9,5.9,6.3,NA,4.6,6.3
Matt Houston,402,251,91,NA,NA,NA,14,12,2,146,116,30,174,119,55,NA,51,208,6.4,6.3,6.7,NA,NA,NA,5,4.8,8,6.4,6.5,6.4,6.5,6.3,7,NA,6.1,6.6
Men in Trees,4026,1272,2321,10,1,9,1445,427,1018,1462,550,912,609,282,327,NA,89,1067,6.9,6.4,7.5,8,10,7.9,6.8,6.2,7.3,6.9,6.3,7.6,7.1,6.8,7.5,NA,5.4,6.8
My Generation,589,293,269,6,3,3,308,145,163,190,117,73,35,22,13,NA,13,307,5.4,5,6.7,7.5,7.3,9.3,6.3,5.8,7.3,4.7,4.3,6.1,4.1,3.9,4.9,NA,2.6,5.7
My So-Called Life,11536,3762,6528,104,20,84,4440,1273,3167,4772,2013,2759,667,393,274,2,176,4490,8.1,7.7,8.6,8.8,6.3,9.4,8.1,7.4,8.5,8.2,7.8,8.6,8.2,8,8.4,8,6.1,7.9
NYPD Blue,6400,4281,1352,12,10,2,1463,1092,371,2699,2155,544,1287,936,351,1,225,2092,7.1,7.2,7,8,8.2,6,6.7,6.7,6.4,7.1,7.1,7.1,7.6,7.6,7.7,9,6,7.1
October Road,3401,1373,1813,13,5,8,1621,622,999,1212,587,625,268,144,124,1,69,1714,7,6.8,7.7,6.6,6.4,6.6,7.4,6.9,7.8,7.1,6.8,7.6,6.7,6.3,7.5,6,4.9,7.3
Once and Again,1781,620,936,4,NA,4,728,217,511,557,264,293,231,130,101,NA,55,478,7.4,7.1,7.8,9,NA,9,7.5,7.1,7.8,7.4,7,7.9,7.6,7.3,7.9,NA,6.4,7.7
Paper Dolls,91,49,30,NA,NA,NA,10,9,1,34,18,16,33,22,11,NA,12,29,7.1,6.7,6.5,NA,NA,NA,9.5,9.5,10,6.4,6.2,6.7,6.3,6.1,6.7,NA,6.1,6.6
Philly,207,113,65,NA,NA,NA,49,31,18,57,36,21,68,46,22,NA,15,96,6.4,6.8,6.8,NA,NA,NA,7.1,6.9,7.6,6.5,6.4,6.3,6.8,6.8,6.3,NA,4.5,6.7
The Practice,4261,2558,1185,13,10,3,1442,1007,435,1670,1153,517,525,346,179,NA,110,1173,7.5,7.5,7.7,8.2,8.2,8,7.6,7.6,7.7,7.4,7.3,7.6,7.7,7.7,7.6,NA,6.7,7.3
"Push, Nevada",155,113,18,NA,NA,NA,33,31,2,69,58,11,29,24,5,NA,16,78,6.1,6.8,3.7,NA,NA,NA,7.8,7.8,9,5.9,6.2,4.1,5.7,6.5,2.9,NA,4.6,6.5
Scoundrels,644,371,240,5,3,2,263,149,114,214,140,74,114,75,39,NA,21,264,6.1,6.1,6.3,9.4,8.7,9.5,6.2,6.1,6.5,6.4,6.4,6.3,5.5,5.4,5.6,NA,5.5,6
Second Noah,195,51,121,NA,NA,NA,76,19,57,77,23,54,15,9,6,NA,10,105,6.9,6.4,7.5,NA,NA,NA,6.6,5.6,7.5,7.5,7.4,7.5,6,5.2,7,NA,6.4,7.1
Sidekicks,154,114,22,NA,NA,NA,26,21,5,102,87,15,6,5,1,NA,17,62,6.7,7.4,4.4,NA,NA,NA,6.5,7.1,2.1,7.2,7.3,5,7.1,8,5,NA,5.1,6
Six Degrees,1461,783,513,1,1,NA,535,319,216,557,360,197,174,93,81,NA,35,517,7.5,7.6,7.7,8,8,NA,7.9,7.7,8.2,7.5,7.5,7.4,7.2,7.4,7,NA,6.6,7.6
Spenser: For Hire,850,564,165,NA,NA,NA,43,31,12,358,285,73,306,233,73,NA,86,440,6.9,7,6.6,NA,NA,NA,5.3,6.3,2.9,6.9,6.9,6.9,7.3,7.2,7.4,NA,6.3,7.1
That Was Then,33,18,6,NA,NA,NA,7,6,1,7,5,2,10,7,3,NA,4,19,7.8,6.2,2.7,NA,NA,NA,10,10,10,7.5,7.5,5,4.2,5.1,5.7,NA,4,4.3
thirtysomething,1128,518,432,3,3,NA,70,47,23,392,226,166,445,231,214,NA,68,551,6.9,6.7,7.6,5.3,5.3,NA,6.1,5.9,6.8,6.7,6.4,7.4,7.5,7.3,7.9,NA,6.1,7.1
Threat Matrix,274,182,60,2,1,1,93,71,22,105,82,23,37,27,10,NA,21,64,5.6,5.8,5.3,8.5,10,7,6.3,6,7.5,5,5,4.6,6.3,7,3.7,NA,5.2,5
T.J. Hooker,1454,1053,218,9,5,4,178,158,20,717,601,116,331,265,66,NA,134,514,5.7,5.7,5.6,7.3,6.4,9.8,6.2,6.2,6.6,5.7,5.7,5.7,5.5,5.5,5.5,NA,5.5,5.8
Trauma Center,34,19,9,NA,NA,NA,6,5,1,10,6,4,10,8,2,NA,10,18,6,3.9,2.3,NA,NA,NA,3.9,5.3,1,3.1,3.8,3.8,3.5,3.3,7.5,NA,3.7,2.9
Traveler,3848,2482,1128,12,4,8,2032,1382,650,1295,943,352,220,140,80,NA,56,1340,7.9,7.9,8.2,8.9,9.5,8.8,8.1,7.9,8.5,7.9,7.8,8.1,7.6,7.7,7.2,NA,4.9,7.4
Twin Peaks,65200,45043,12884,806,646,160,27598,21219,6379,23890,19086,4804,4263,3337,926,9,461,11386,8.9,8.9,8.8,7.4,7.3,8.3,9,9,8.9,8.9,8.9,8.8,8.6,8.6,8.2,8.1,8,8.7
The Whole Truth,565,287,224,4,3,1,185,97,88,200,123,77,107,57,50,NA,33,212,5.9,5.7,7.2,7.3,7,8,6.4,5.8,7.6,6.1,5.8,7.1,6,5.6,7,NA,4.4,6.3
The Unusuals,3924,2115,1427,22,6,16,1475,810,665,1405,918,487,552,351,201,2,97,1708,7.7,7.6,8.1,8.6,8.2,8.9,7.9,7.9,8,7.6,7.4,8,7.7,7.4,8.2,6.5,6,7.7
What About Brian,2950,1397,1270,11,3,8,1372,712,660,1007,552,455,232,119,113,NA,70,908,7,6.9,7.2,6.7,8.3,6.4,7.2,7.1,7.3,6.9,6.8,7,6.8,6.4,7.6,NA,5.8,7
Women's Murder Club,1605,589,877,10,1,9,611,185,426,560,261,299,262,133,129,NA,58,670,6.8,6.4,7.7,8.8,10,8.7,6.9,6,7.7,6.6,6.1,7.5,7.4,7.1,8,NA,5.3,7.2
Automan,616,481,61,NA,NA,NA,30,27,3,411,377,34,76,62,14,NA,46,166,6.7,6.7,6.6,NA,NA,NA,7,7.3,6,6.8,6.7,7.5,6.2,6.3,6,NA,6.2,6.8
Defying Gravity,7562,5883,1219,19,13,6,2531,2078,453,3303,2804,499,1113,914,199,2,105,2034,7,7,7.1,7,7.5,6.3,6.9,6.9,7.1,7,7,7.1,7.3,7.2,7.6,8.5,5.5,6.8
Galactica 1980,1449,1121,129,2,1,1,191,161,30,721,663,58,308,279,29,NA,87,473,5.1,5.1,5.4,8,10,6,4.9,4.8,6.4,5.1,5.1,5.5,5.1,5.1,5.2,NA,5.5,4.9
Invasion,8881,5917,1976,23,18,5,3232,2437,795,3423,2658,765,1070,749,321,1,186,2135,7.4,7.3,7.6,7.1,7,7.8,7.5,7.5,7.5,7.3,7.3,7.7,7.3,7.2,7.8,6,6.4,7.4
Max Headroom,1190,843,190,NA,NA,NA,100,83,17,567,478,89,333,267,66,NA,95,545,7,7.1,6.4,NA,NA,NA,5.6,6.1,4,6.9,7,6.5,7.5,7.5,7.3,NA,6,7
No Ordinary Family,12651,8342,3302,404,214,190,6338,4446,1892,3689,2846,843,942,689,253,NA,141,3015,6.6,6.6,6.7,7.6,7.3,8,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.7,NA,4.6,6.2
The Phoenix,109,67,30,NA,NA,NA,3,2,1,59,44,15,33,20,13,NA,16,81,7,6.9,7.1,NA,NA,NA,2.7,3.5,1,7.5,7.2,7.9,7.2,7.1,7.5,NA,6.8,7.3
Starman,329,211,74,NA,NA,NA,18,15,3,172,136,36,92,59,33,NA,46,139,6.7,6.5,7.8,NA,NA,NA,5.7,5.3,9,6.7,6.5,8.4,6.8,6.8,7.1,NA,6.4,7
Strange World,76,43,19,NA,NA,NA,11,8,3,31,23,8,16,11,5,NA,15,36,7.4,6.3,8.2,NA,NA,NA,6,5.5,8,6.8,6.4,7.8,6.4,6.2,9.2,NA,5.9,6.2
V,37290,27816,6650,351,245,106,15902,12752,3150,14750,12196,2554,2768,2193,575,2,270,7314,6.7,6.8,6.7,7.4,7.3,7.6,6.8,6.9,6.8,6.7,6.7,6.6,6.7,6.7,6.6,5.5,5.7,6.5
